Address,Year Build,GLA,# of rooms,# of bath,Closing Date,Sale Price
"9 three-phase ave., atlanta, ga",1994,1895,4.5,2,24/07/2021,329900
"69  autoinducers  st.,  atlanta,  ga",2016,1797,4,2,27/08/2021,322600
"146 hungers st., atlanta, ga",1978,1633,4,1,30/07/2021,324800
"13 telex rd., las vegas, nv",1995,1510,3.5,2,27/07/2021,301400
"31 feed-wire ave., atlanta, ga",1985,1486,3.5,2,09/09/2021,277200
"102 tractiveness st., las vegas, nv",2001,1672,4,1,15/09/2021,343000
"96  neofascist  st.,  phoenix,  az",2006,1825,4.5,2,07/08/2021,372000
"108 pretreatment st., atlanta, ga",1957,1599,3.5,1,05/08/2021,279700
"23 empery rd., atlanta, ga",1967,1554,3.5,1,04/10/2021,273700
"77 osseofibrous rd., phoenix, az",1985,1416,3.5,1,30/07/2021,259900
"118  whirlpit  ave.,  phoenix,  az",1983,1450,3.5,1,15/09/2021,229000
"109  dekle  rd.,  phoenix,  az",1951,1444,3.5,1,20/08/2021,289100
"49 rekne ave., atlanta, ga",1985,1776,4,1,01/08/2021,287100
"95 excellences ave., phoenix, az",1986,1832,4.5,1,25/10/2021,296900
"198 platty ave., phoenix, az",1964,1760,4,2,23/08/2021,345600
"116 grout st., las vegas, nv",1972,1954,4.5,2,14/11/2021,342000
"6 unified ave., atlanta, ga",2012,1449,3.5,2,11/10/2021,305100
"191 homelike rd., phoenix, az",1984,1931,4.5,1,27/08/2021,346200
"104 pruno st., phoenix, az",2017,1563,3.5,2,25/08/2021,297700
"74 xinjiang st., phoenix, az",1961,1620,4,2,14/09/2021,269400
"175 signator rd., las vegas, nv",1984,1782,4,2,18/09/2021,361800
"116 cahokia ave., atlanta, ga",1975,1604,4,1,02/11/2021,319300
"198 back-scratcher rd., atlanta, ga",2011,1619,4,2,11/09/2021,280400
"96 high-heeled st., las vegas, nv",1959,1524,3.5,1,14/10/2021,261600
"4 merciful rd., phoenix, az",2011,1413,3.5,1,24/10/2021,307700
"9  myriametre  st.,  phoenix,  az",1966,1839,4.5,1,25/08/2021,308400
"96 webcam st., atlanta, ga",1992,1927,4.5,1,24/10/2021,358800
"143 figurability st., las vegas, nv",1957,1474,3.5,1,29/08/2021,255000
"98 juncture rd., phoenix, az",1963,1848,4.5,2,15/09/2021,377700
"101 unappareled st., atlanta, ga",1951,1692,4,1,02/11/2021,265900
"50  wondering  rd.,  atlanta,  ga",2002,1857,4.5,1,25/09/2021,345400
"133 since ave., phoenix, az",1991,1505,3.5,1,27/07/2021,272300
"25 generical rd., atlanta, ga",1970,1551,3.5,2,15/08/2021,283100
"177 louis xiv ave., las vegas, nv",1959,1427,3.5,1,31/07/2021,306200
"22 egrecious rd., houston, tx",1974,1940,0,2,18/10/2021,322700
"146  outrageous  rd.,  phoenix,  az",1962,1872,4.5,2,31/10/2021,345500
"181 traversal rd., las vegas, nv",1997,1967,4.5,1,30/08/2021,322700
"114 transferable st., phoenix, az",1957,1628,4,2,10/11/2021,355600
"97 fittle ave., las vegas, nv",2008,1568,3.5,1,18/07/2021,335200
"61 removes rd., las vegas, nv",1960,1806,4.5,2,27/08/2021,314500
"59 fanfaronades st., atlanta, ga",1995,1966,4.5,2,02/10/2021,388700
"70 coolie st., houston, tx",1975,1886,0,2,27/07/2021,384400
"3 dismantle st., phoenix, az",1975,1809,4.5,2,29/08/2021,367500
"1 immartial rd., houston, tx",2010,1914,0,2,06/11/2021,390300
"56 bissau st., las vegas, nv",1953,1456,3.5,1,28/08/2021,305900
"75 hatekillpuke rd., phoenix, az",1975,1595,3.5,1,30/07/2021,298300
"154 goatsfoot st., phoenix, az",2014,1701,4,1,28/07/2021,305400
"177 pruss ave., phoenix, az",1993,1999,4.5,1,31/10/2021,345100
"142 buttie ave., houston, tx",1993,1641,0,2,03/08/2021,271400
"143 weanedness rd., phoenix, az",1971,1774,4,1,18/07/2021,299600
"86 adiantum rd., phoenix, az",2005,1494,3.5,1,27/10/2021,242000
"76 usitate st., las vegas, nv",1997,1602,4,1,09/08/2021,260800
"12 topscorers st., atlanta, ga",1970,1592,3.5,1,03/08/2021,335600
"52 cookwares rd., las vegas, nv",2011,1841,4.5,1,14/08/2021,324400
"138 post-rank st., phoenix, az",1952,1913,4.5,2,20/07/2021,328500
"182 upheave st., las vegas, nv",1975,1567,3.5,1,14/10/2021,310100
"141 confidence rd., atlanta, ga",1972,1832,4.5,2,30/08/2021,314100
"87 scried st., las vegas, nv",1970,1446,3.5,1,25/10/2021,301500
"51 darknesses ave., las vegas, nv",2010,1856,4.5,2,20/07/2021,293900
"186 phyllodia st., phoenix, az",2004,1590,3.5,2,05/11/2021,322300
"61 dung-hook rd., phoenix, az",1968,1813,4.5,1,04/11/2021,378700
"143 whip-sawing rd., houston, tx",1952,1519,0,1,18/07/2021,312200
"139 authentication st., las vegas, nv",1993,1433,3.5,1,22/07/2021,299200
"14 half-strained st., las vegas, nv",1960,1761,4,1,10/08/2021,303500
"37 balls st., las vegas, nv",1981,1664,4,1,26/09/2021,281900
