Address,Last Status Date,List Price,Offer Price,Status
"116 Gainsay St., Phoenix, AZ",2021-07-26,306700,323700,Offer Rejected - Price Too Low
"42 Dihedrons Ave., Las Vegas, NV",2021-08-27,313700,324900,Offer Rejected - Price Too Low
"7 Alumroots St., Atlanta, GA",2021-09-18,242800,251900,Offer Rejected - Price Too Low
"78 Laggan St., Houston, TX",2021-11-01,281300,300200,Closed
"18 Vasodilatation St., Phoenix, AZ",2021-09-05,333400,363200,Offer Rejected - Price Too Low
"122 Lobbish St., Las Vegas, NV",2021-11-05,342600,352400,Offer Rejected - Price Too Low
"175 Coverage St., Phoenix, AZ",2021-11-30,357100,385500,Offer Rejected - Price Too Low
"189 Unrewarded Ave., Las Vegas, NV",2021-10-29,259300,264000,Offer Rejected - Price Too Low
"3 Emancipations Rd., Atlanta, GA",2021-07-27,279300,277900,Offer Rejected - Price Too Low
"194 Latterday St., Las Vegas, NV",2021-11-21,259500,254400,Offer Rejected - Price Too Low
"186 Unhealthily Rd., Phoenix, AZ",2021-11-18,273600,274700,Offer Rejected - Price Too Low
"113 Immoralize St., Phoenix, AZ",2021-10-16,354300,381700,Closed
"97 Flyhalves Rd., Houston, TX",2021-09-13,276700,279600,Offer Rejected - Price Too Low
"61 Moped St., Las Vegas, NV",2021-11-26,277500,283400,Offer Rejected - Price Too Low
"100 Speakeasy St., Las Vegas, NV",2021-09-12,384900,405700,Offer Rejected - Price Too Low
"44 Backwards Ave., Phoenix, AZ",2021-08-24,308100,299800,Offer Rejected - Price Too Low
"24 Silverbell St., Las Vegas, NV",2021-08-22,248000,254300,Offer Rejected - Price Too Low
"42 Forearm Rd., Atlanta, GA",2021-10-18,302500,323800,Closed
"174 Perigees St., Phoenix, AZ",2021-11-27,349200,354800,Offer Rejected - Price Too Low
"63 Boggles St., Atlanta, GA",2021-10-14,334300,349500,Offer Rejected - Price Too Low
"78 Essayers St., Phoenix, AZ",2021-11-10,246400,246700,Offer Rejected - Price Too Low
"96 Bottlecap St., Las Vegas, NV",2021-09-18,294300,309800,Offer Rejected - Price Too Low
"159 Flipe St., Atlanta, GA",2021-07-31,288800,287300,Offer Rejected - Price Too Low
"116 Cuitlacoche St., Atlanta, GA",2021-11-01,375400,392200,Offer Rejected - Price Too Low
"118 Deprivations Rd., Phoenix, AZ",2021-10-03,380500,408100,Closed
"144 Lambkill St., Las Vegas, NV",2021-11-08,310500,305500,Offer Rejected - Price Too Low
"23 Tummy Rd., Phoenix, AZ",2021-09-08,242400,254400,Offer Rejected - Price Too Low
"52 School-teacher St., Phoenix, AZ",2021-07-28,371300,372900,Offer Rejected - Price Too Low
"19 Forebodings St., Las Vegas, NV",2021-11-20,316200,327600,Offer Rejected - Price Too Low
"87 Puzzle-cup St., Las Vegas, NV",2021-07-25,278700,279000,Offer Rejected - Price Too Low
"12 Forgives St., Phoenix, AZ",2021-08-12,355400,363000,Offer Rejected - Price Too Low
"189 Tussis St., Phoenix, AZ",2021-08-24,228800,232300,Offer Rejected - Price Too Low
"90 Stingray Rd., Atlanta, GA",2021-09-03,267200,262000,Offer Rejected - Price Too Low
